State,District,year,Type,Crop,Average Max Temperature,Average Min Temp,Ground water ,precipitation,cloud cover
Assam,BARPETA,1999,Whole Year,Sugarcane,28.95433,19.99333,2.41,245.992,50.9209
Assam,BARPETA,2000,Whole Year,Sugarcane,27.58808,19.20083,2.651538462,226.9251,52.845
Assam,BARPETA,2001,Whole Year,Sugarcane,28.226,19.70167,2.41,225.4203,52.58
Assam,BARPETA,2002,Whole Year,Sugarcane,28.28667,19.18883,2.268461538,220.9939,52.6
Assam,CACHAR,1999,Whole Year,Sugarcane,29.54108,20.01675,1.847272727,210.6663,51.354
Assam,CACHAR,2000,Whole Year,Sugarcane,28.16508,19.16258,1.235,250.9051,53.68
Assam,CACHAR,2001,Whole Year,Sugarcane,28.93283,19.7755,1.59195122,269.9351,53.229
Assam,CACHAR,2002,Whole Year,Sugarcane,29.00908,19.21192,1.504871795,292.3685,53.16
Assam,DARRANG,1999,Whole Year,Sugarcane,28.85508,19.37708,2.725789474,233.6089,50.962
Assam,DARRANG,2000,Whole Year,Sugarcane,27.37042,18.49908,3.149473684,229.812,53.348
Assam,DARRANG,2001,Whole Year,Sugarcane,28.054,19.04192,2.817368421,231.8738,52.82
Assam,DARRANG,2002,Whole Year,Sugarcane,28.11892,18.52983,3.137777778,235.7084,52.879
Assam,DHEMAJI,1999,Whole Year,Sugarcane,29.83958,19.37708,2.752307692,167.5203,52.82
Assam,DHEMAJI,2000,Whole Year,Sugarcane,28.388,18.49908,2.592631579,181.8812,53.503
Assam,DHEMAJI,2001,Whole Year,Sugarcane,29.05183,19.04192,2.81875,167.2466,51.899
Assam,DHEMAJI,2002,Whole Year,Sugarcane,29.09933,18.52983,2.644666667,186.4442,52.066
Assam,DHUBRI,1999,Whole Year,Sugarcane,30.8455,21.19267,2.64625,192.0604,51.037
Assam,DHUBRI,2000,Whole Year,Sugarcane,29.731,20.5895,3.015,171.1857,51.227
Assam,DHUBRI,2001,Whole Year,Sugarcane,30.26875,21.007,2.662105263,168.6328,51.39
Assam,DHUBRI,2002,Whole Year,Sugarcane,30.29533,20.50825,2.714782609,163.3268,51.457
Assam,DIBRUGARH,1999,Whole Year,Sugarcane,29.13925,19.672,2.693636364,164.8914,53.109
Assam,DIBRUGARH,2000,Whole Year,Sugarcane,27.72033,18.82808,2.633939394,182.3984,53.638
Assam,DIBRUGARH,2001,Whole Year,Sugarcane,28.40592,19.31475,2.795405405,167.5877,51.913
Assam,DIBRUGARH,2002,Whole Year,Sugarcane,28.44817,18.86325,2.830526316,188.2366,51.945
Assam,GOALPARA,1999,Whole Year,Sugarcane,29.43933,20.49858,2.357037037,233.3286,51.055
Assam,GOALPARA,2000,Whole Year,Sugarcane,28.20058,19.812,2.055185185,213.6558,52.347
Assam,GOALPARA,2001,Whole Year,Sugarcane,28.75408,20.24642,2.951515152,209.1492,52.258
Assam,GOALPARA,2002,Whole Year,Sugarcane,28.8195,19.72992,3.567407407,205.2553,52.257
Assam,GOLAGHAT,1999,Whole Year,Sugarcane,28.93092,19.55358,4.6988,159.4613,52.119
Assam,GOLAGHAT,2000,Whole Year,Sugarcane,27.54908,18.7695,3.679565217,178.7719,53.716
Assam,GOLAGHAT,2001,Whole Year,Sugarcane,28.19783,19.24442,3.905,175.955,52.992
Assam,GOLAGHAT,2002,Whole Year,Sugarcane,28.288,18.7645,3.535217391,190.262,51.8
Assam,HAILAKANDI,1999,Whole Year,Sugarcane,29.72592,20.20767,2.337333333,196.0844,51.458
Assam,HAILAKANDI,2000,Whole Year,Sugarcane,28.35258,19.32758,1.329285714,239.5863,53.58441667
Assam,HAILAKANDI,2001,Whole Year,Sugarcane,29.15142,19.98442,1.434666667,255.0477,53.14858333
Assam,HAILAKANDI,2002,Whole Year,Sugarcane,29.21383,19.40217,1.136428571,277.5493,53.31875
Assam,JORHAT,1999,Whole Year,Sugarcane,29.137,19.73592,2.486153846,153.6532,52.5975
Assam,JORHAT,2000,Whole Year,Sugarcane,27.7635,18.94575,3.038529412,174.4966,53.79966667
Assam,JORHAT,2001,Whole Year,Sugarcane,28.3935,19.40067,2.142333333,166.1368,52.8835
Assam,JORHAT,2002,Whole Year,Sugarcane,28.47567,18.95192,1.677317073,183.1783,51.83333333
Assam,KAMRUP,1999,Whole Year,Sugarcane,27.64183,18.8915,2.938148148,282.1043,51.01925
Assam,KAMRUP,2000,Whole Year,Sugarcane,26.21475,18.06975,2.499811321,281.4479,53.54383333
Assam,KAMRUP,2001,Whole Year,Sugarcane,26.84642,18.554,2.386885246,285.3148,53.06925
Assam,KAMRUP,2002,Whole Year,Sugarcane,26.91125,18.03442,2.306129032,294.3852,53.22091667
Assam,KARBI ANGLONG,1999,Whole Year,Sugarcane,27.19017,18.38892,5.053563218,218.5673,51.92875
Assam,KARBI ANGLONG,2000,Whole Year,Sugarcane,25.82992,17.63558,4.281481481,247.7023,54.02091667
Assam,KARBI ANGLONG,2001,Whole Year,Sugarcane,26.43867,18.08408,4.588023256,257.4818,53.56566667
Assam,KARBI ANGLONG,2002,Whole Year,Sugarcane,26.53325,17.582,4.217282609,285.0821,52.44033333
Assam,KARIMGANJ,1999,Whole Year,Sugarcane,30.80883,20.61683,2.520882353,175.151,51.392
Assam,KARIMGANJ,2000,Whole Year,Sugarcane,29.46158,19.75092,2.124375,216.9247,53.39633333
Assam,KARIMGANJ,2001,Whole Year,Sugarcane,30.18075,20.35667,1.723243243,228.4517,52.8905
Assam,KARIMGANJ,2002,Whole Year,Sugarcane,30.24933,19.75525,1.7824,250.6203,53.3145
Assam,KOKRAJHAR,1999,Whole Year,Sugarcane,30.09142,20.85125,14.72625,219.0218,51.26566667
Assam,KOKRAJHAR,2000,Whole Year,Sugarcane,28.8035,20.10667,15.33875,198.4891,51.75108333
Assam,KOKRAJHAR,2001,Whole Year,Sugarcane,29.45683,20.62942,15.6975,194.9145,51.78466667
Assam,KOKRAJHAR,2002,Whole Year,Sugarcane,29.47117,20.09875,15.0075,195.869,51.82708333
Assam,LAKHIMPUR,1999,Whole Year,Sugarcane,30.18808,20.55275,2.163448276,166.433,52.29466667
Assam,LAKHIMPUR,2000,Whole Year,Sugarcane,28.7115,19.67583,1.814464286,177.5284,53.36791667
Assam,LAKHIMPUR,2001,Whole Year,Sugarcane,29.38325,20.17217,2.0065,166.4742,51.99941667
Assam,LAKHIMPUR,2002,Whole Year,Sugarcane,29.44475,19.70858,1.95779661,181.862,52.06208333
Assam,NAGAON,1999,Whole Year,Sugarcane,26.14742,17.55242,3.676376812,249.7192,51.63266667
Assam,NAGAON,2000,Whole Year,Sugarcane,24.74017,16.77233,3.081733333,274.9823,53.89083333
Assam,NAGAON,2001,Whole Year,Sugarcane,25.34133,17.20533,3.178507463,279.285,53.37691667
Assam,NAGAON,2002,Whole Year,Sugarcane,25.409,16.69042,2.907439024,304.6787,52.6905
Assam,NALBARI,1999,Whole Year,Sugarcane,28.99075,19.77417,2.401428571,246.9119,50.79591667
Assam,NALBARI,2000,Whole Year,Sugarcane,27.56867,18.937,1.367,230.1999,53.201
Assam,NALBARI,2001,Whole Year,Sugarcane,28.23408,19.45125,1.932,231.1628,52.78866667
Assam,NALBARI,2002,Whole Year,Sugarcane,28.2935,18.95617,0.7733333333,227.1351,52.87966667
Assam,SIVASAGAR,1999,Whole Year,Sugarcane,28.43683,19.03267,2.416923077,159.1402,53.13533333
Assam,SIVASAGAR,2000,Whole Year,Sugarcane,27.0255,18.19575,2.095897436,175.0182,53.91908333
Assam,SIVASAGAR,2001,Whole Year,Sugarcane,27.71908,18.69992,2.1,165.7595,52.43041667
Assam,SIVASAGAR,2002,Whole Year,Sugarcane,27.78483,18.26058,2.29,182.7284,51.93058333
Assam,SONITPUR,1999,Whole Year,Sugarcane,30.29492,20.52767,2.683692308,185.9299,51.51325
Assam,SONITPUR,2000,Whole Year,Sugarcane,28.79642,19.64583,2.646557377,191.4382,53.39541667
Assam,SONITPUR,2001,Whole Year,Sugarcane,29.47883,20.17483,2.883015873,184.9598,52.45675
Assam,SONITPUR,2002,Whole Year,Sugarcane,29.53983,19.65883,2.818787879,192.8173,52.39858333
Assam,TINSUKIA,1999,Whole Year,Sugarcane,26.71483,16.893,3.208604651,158.2517,54.093
Assam,TINSUKIA,2000,Whole Year,Sugarcane,25.34508,16.06692,3.022444444,171.7745,54.43425
Assam,TINSUKIA,2001,Whole Year,Sugarcane,26.02617,16.52433,3.165769231,158.7048,52.60991667
Assam,TINSUKIA,2002,Whole Year,Sugarcane,26.09833,16.13192,3.135272727,173.6548,52.49258333
Bihar,ARARIA,1999,Whole Year,Sugarcane,31.4715,19.72683,2.653333333,103.9658,48.115
Bihar,ARARIA,2000,Whole Year,Sugarcane,30.67192,19.30283,3.107,87.06533,44.554
Bihar,ARARIA,2001,Whole Year,Sugarcane,31.25775,19.795,2.665,88.87633,45.48325
Bihar,ARARIA,2002,Whole Year,Sugarcane,31.23358,19.32642,2.37375,99.60783,44.95683333
Bihar,AURANGABAD,1999,Whole Year,Sugarcane,32.3565,19.55192,3.36875,67.0455,41.98625
Bihar,AURANGABAD,2000,Whole Year,Sugarcane,32.195,19.40525,3.39,51.50225,35.43433333
Bihar,AURANGABAD,2001,Whole Year,Sugarcane,32.26842,19.48358,3.40175,57.32075,38.68991667
Bihar,AURANGABAD,2002,Whole Year,Sugarcane,32.715,19.587,3.230810811,66.66058,36.539
Bihar,BANKA,1999,Whole Year,Sugarcane,31.2505,19.64275,3.292727273,90.46708,45.19216667
Bihar,BANKA,2000,Whole Year,Sugarcane,30.83742,19.51225,3.746818182,71.45,41.2665
Bihar,BANKA,2001,Whole Year,Sugarcane,31.13358,19.70758,3.646071429,74.01233,42.72108333
Bihar,BANKA,2002,Whole Year,Sugarcane,31.33617,19.42208,3.146666667,78.8435,41.79741667
Bihar,BEGUSARAI,1999,Whole Year,Sugarcane,31.7545,20.38108,3.333235294,76.15742,43.57341667
Bihar,BEGUSARAI,2000,Whole Year,Sugarcane,31.39642,20.25417,3.792857143,62.48183,38.121
Bihar,BEGUSARAI,2001,Whole Year,Sugarcane,31.70317,20.48117,3.887878788,64.036,40.06683333
Bihar,BEGUSARAI,2002,Whole Year,Sugarcane,31.82975,20.19958,3.968235294,74.90783,38.675
Bihar,BHAGALPUR,1999,Whole Year,Sugarcane,31.58717,19.798,3.599761905,85.18392,45.81608333
Bihar,BHAGALPUR,2000,Whole Year,Sugarcane,31.05692,19.54267,3.537045455,70.07558,42.04333333
