Crop,Season,Precipitation,Max Temperature,Min Temp,Ground Water ,Cloud Cover
Sugarcane,1,245.992,28.95433,19.99333,2.41,50.9209
Sugarcane,1,226.9251,27.58808,19.20083,2.651538462,52.845
Sugarcane,1,225.4203,28.226,19.70167,2.41,52.58
Sugarcane,1,220.9939,28.28667,19.18883,2.268461538,52.6
Sugarcane,1,210.6663,29.54108,20.01675,1.847272727,51.354
Sugarcane,1,250.9051,28.16508,19.16258,1.235,53.68
Sugarcane,1,269.9351,28.93283,19.7755,1.59195122,53.229
Sugarcane,1,292.3685,29.00908,19.21192,1.504871795,53.16
Sugarcane,1,233.6089,28.85508,19.37708,2.725789474,50.962
Sugarcane,1,229.812,27.37042,18.49908,3.149473684,53.348
Sugarcane,1,231.8738,28.054,19.04192,2.817368421,52.82
Sugarcane,1,235.7084,28.11892,18.52983,3.137777778,52.879
Sugarcane,1,167.5203,29.83958,19.37708,2.752307692,52.82
Sugarcane,1,181.8812,28.388,18.49908,2.592631579,53.503
Sugarcane,1,167.2466,29.05183,19.04192,2.81875,51.899
Sugarcane,1,186.4442,29.09933,18.52983,2.644666667,52.066
Sugarcane,1,192.0604,30.8455,21.19267,2.64625,51.037
Sugarcane,1,171.1857,29.731,20.5895,3.015,51.227
Sugarcane,1,168.6328,30.26875,21.007,2.662105263,51.39
Sugarcane,1,163.3268,30.29533,20.50825,2.714782609,51.457
Sugarcane,1,164.8914,29.13925,19.672,2.693636364,53.109
Sugarcane,1,182.3984,27.72033,18.82808,2.633939394,53.638
Sugarcane,1,167.5877,28.40592,19.31475,2.795405405,51.913
Sugarcane,1,188.2366,28.44817,18.86325,2.830526316,51.945
Sugarcane,1,233.3286,29.43933,20.49858,2.357037037,51.055
Sugarcane,1,213.6558,28.20058,19.812,2.055185185,52.347
Sugarcane,1,209.1492,28.75408,20.24642,2.951515152,52.258
Sugarcane,1,205.2553,28.8195,19.72992,3.567407407,52.257
Sugarcane,1,159.4613,28.93092,19.55358,4.6988,52.119
Sugarcane,1,178.7719,27.54908,18.7695,3.679565217,53.716
Sugarcane,1,175.955,28.19783,19.24442,3.905,52.992
Sugarcane,1,190.262,28.288,18.7645,3.535217391,51.8
Sugarcane,1,196.0844,29.72592,20.20767,2.337333333,51.458
Sugarcane,1,239.5863,28.35258,19.32758,1.329285714,53.58441667
Sugarcane,1,255.0477,29.15142,19.98442,1.434666667,53.14858333
Sugarcane,1,277.5493,29.21383,19.40217,1.136428571,53.31875
Sugarcane,1,153.6532,29.137,19.73592,2.486153846,52.5975
Sugarcane,1,174.4966,27.7635,18.94575,3.038529412,53.79966667
Sugarcane,1,166.1368,28.3935,19.40067,2.142333333,52.8835
Sugarcane,1,183.1783,28.47567,18.95192,1.677317073,51.83333333
Sugarcane,1,282.1043,27.64183,18.8915,2.938148148,51.01925
Sugarcane,1,281.4479,26.21475,18.06975,2.499811321,53.54383333
Sugarcane,1,285.3148,26.84642,18.554,2.386885246,53.06925
Sugarcane,1,294.3852,26.91125,18.03442,2.306129032,53.22091667
Sugarcane,1,218.5673,27.19017,18.38892,5.053563218,51.92875
Sugarcane,1,247.7023,25.82992,17.63558,4.281481481,54.02091667
Sugarcane,1,257.4818,26.43867,18.08408,4.588023256,53.56566667
Sugarcane,1,285.0821,26.53325,17.582,4.217282609,52.44033333
Sugarcane,1,175.151,30.80883,20.61683,2.520882353,51.392
Sugarcane,1,216.9247,29.46158,19.75092,2.124375,53.39633333
Sugarcane,1,228.4517,30.18075,20.35667,1.723243243,52.8905
Sugarcane,1,250.6203,30.24933,19.75525,1.7824,53.3145
Sugarcane,1,219.0218,30.09142,20.85125,14.72625,51.26566667
Sugarcane,1,198.4891,28.8035,20.10667,15.33875,51.75108333
Sugarcane,1,194.9145,29.45683,20.62942,15.6975,51.78466667
Sugarcane,1,195.869,29.47117,20.09875,15.0075,51.82708333
